Method,Result,Step
A-Star h1,Solved,4
A-Star h1,Solved,12
A-Star h1,Solved,16
A-Star h1,Solved,18
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,20
A-Star h1,Solved,18
A-Star h1,Solved,18
A-Star h1,Solved,16
A-Star h1,Solved,18
A-Star h1,Solved,20
A-Star h1,Solved,20
A-Star h1,Solved,22
A-Star h1,Solved,22
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Solved,20
A-Star h1,Solved,18
A-Star h1,Solved,22
A-Star h1,Solved,16
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,16
A-Star h1,Solved,18
A-Star h1,Solved,18
A-Star h1,Unsolved,0
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,20
A-Star h1,Solved,20
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,18
A-Star h1,Solved,14
A-Star h1,Solved,20
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,20
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,22
A-Star h1,Unsolved,0
A-Star h1,Solved,22
A-Star h1,Solved,20
A-Star h1,Unsolved,0
A-Star h2,Solved,4
A-Star h2,Solved,12
A-Star h2,Solved,16
A-Star h2,Solved,18
A-Star h2,Solved,22
A-Star h2,Solved,26
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,28
A-Star h2,Solved,24
A-Star h2,Solved,20
A-Star h2,Solved,18
A-Star h2,Solved,18
A-Star h2,Solved,16
A-Star h2,Solved,18
A-Star h2,Solved,20
A-Star h2,Solved,20
A-Star h2,Solved,22
A-Star h2,Solved,22
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,20
A-Star h2,Solved,18
A-Star h2,Solved,22
A-Star h2,Solved,16
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,26
A-Star h2,Solved,26
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,28
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,26
A-Star h2,Solved,26
A-Star h2,Solved,26
A-Star h2,Solved,24
A-Star h2,Solved,16
A-Star h2,Solved,18
A-Star h2,Solved,18
A-Star h2,Solved,24
A-Star h2,Solved,20
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,26
A-Star h2,Solved,24
A-Star h2,Solved,20
A-Star h2,Solved,20
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,24
A-Star h2,Solved,28
A-Star h2,Solved,24
A-Star h2,Solved,26
A-Star h2,Solved,26
A-Star h2,Solved,22
A-Star h2,Solved,18
A-Star h2,Solved,14
A-Star h2,Solved,20
A-Star h2,Solved,20
A-Star h2,Solved,24
A-Star h2,Solved,26
A-Star h2,Solved,24
A-Star h2,Solved,20
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,22
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,24
A-Star h2,Solved,24
A-Star h2,Solved,22
A-Star h2,Solved,22
A-Star h2,Solved,26
A-Star h2,Solved,22
A-Star h2,Solved,20
A-Star h2,Solved,24
Beam 20,Solved,5
Beam 20,Solved,13
Beam 20,Solved,17
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,17
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,19
Beam 20,Unsolved,0
Beam 20,Solved,17
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,17
Beam 20,Solved,21
Beam 20,Solved,19
Beam 20,Unsolved,0
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,19
Beam 20,Solved,15
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Solved,21
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 20,Unsolved,0
Beam 80,Solved,5
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
Beam 80,Unsolved,0
